date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:50	87493/87493	---M--	200	added ('OK')	image/jpeg	etag:%22d821b6fd44b7d0451bba313ebe2e2666-ssl%22	https://robbowen.digital/assets/img/articles/holo/composite-diagram-multiply.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/composite-diagram-multiply.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:51	109285/109285	---M--	200	added ('OK')	image/jpeg	etag:%22e771f1054fa6f2ed9ddd3f6fec2d8e8e-ssl%22	https://robbowen.digital/assets/img/articles/holo/composite-diagram-dodge.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/composite-diagram-dodge.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:52	64881/64881	---M--	200	added ('OK')	image/jpeg	etag:%222ceb304a0896b7b2c4d8bd4899678fc2-ssl%22	https://robbowen.digital/assets/img/articles/holo/forest.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/forest.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:53	75496/75496	---M--	200	added ('OK')	image/jpeg	etag:%224a93267e1f107fa261c84a2e5b6633c8-ssl%22	https://robbowen.digital/assets/img/articles/holo/pinelake.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/pinelake.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:54	45489/45489	---M--	200	added ('OK')	image/jpeg	etag:%226498b80d922b164f2c99bd1a7df3c7a4-ssl%22	https://robbowen.digital/assets/img/articles/holo/dash.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/holo/dash.jpg	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:55	921/921	---M--	200	added ('OK')	application/javascript	etag:%227289b208e0fb7e3fa4aca6e3101399f3-ssl%22	https://robbowen.digital/assets/js/articles/shader.js	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/js/articles/shader.js	(from https://robbowen.digital/wrote-about/css-blend-mode-shaders/)
20:18:56	100824/100824	---M--	200	added ('OK')	image/png	etag:%2227f42ec92f7fb73703a9694e808b7f4d-ssl%22	https://robbowen.digital/assets/img/cards/minding-your-language.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/minding-your-language.png	(from https://robbowen.digital/wrote-about/minding-your-language/)
20:18:57	55090/55090	---M--	200	added ('OK')	image/jpeg	etag:%22c8376a6a23ed1d808753c7d51af4defb-ssl%22	https://robbowen.digital/assets/img/articles/lang.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/lang.jpg	(from https://robbowen.digital/wrote-about/minding-your-language/)
20:18:59	103026/103026	---M--	200	added ('OK')	image/png	etag:%2275e58d55aa54dc1fe93cff9fbbf88779-ssl%22	https://robbowen.digital/assets/img/cards/getting-started-with-go.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/getting-started-with-go.png	(from https://robbowen.digital/wrote-about/getting-started-with-go/)
20:18:59	27836/27836	---M--	200	added ('OK')	image/jpeg	etag:%22ff02accce6730c8bbcf6c8de5018e8b0-ssl%22	https://robbowen.digital/assets/img/articles/golang-banner.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/golang-banner.jpg	(from https://robbowen.digital/wrote-about/getting-started-with-go/)
20:19:01	97150/97150	---M--	200	added ('OK')	image/png	etag:%22dae3af1d399aa9fb2755434f975e4711-ssl%22	https://robbowen.digital/assets/img/cards/hindsight-is-2020.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/hindsight-is-2020.png	(from https://robbowen.digital/wrote-about/hindsight-is-2020/)
20:19:01	7074/7074	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%22d8cae5ce286e936d75a5db4c963e5719-ssl-df%22	https://robbowen.digital/wrote-about/launch-day	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/wrote-about/launch-day.3b.delayed	(from https://robbowen.digital/wrote-about/hindsight-is-2020/)
20:19:03	111693/111693	---M--	200	added ('OK')	image/png	etag:%22511437f058766ddb37c5693a2a2a116b-ssl%22	https://robbowen.digital/assets/img/cards/how-to-name-your-web-agency-with-nlp.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/how-to-name-your-web-agency-with-nlp.png	(from https://robbowen.digital/wrote-about/how-to-name-your-web-agency-with-nlp/)
20:19:04	34270/34270	---M--	200	added ('OK')	image/jpeg	etag:%228345b12fff18ed054067b2b49d1d3687-ssl%22	https://robbowen.digital/assets/img/articles/nlp-diagram.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/nlp-diagram.jpg	(from https://robbowen.digital/wrote-about/how-to-name-your-web-agency-with-nlp/)
20:19:05	42334/42334	---M--	200	added ('OK')	image/jpeg	etag:%22c2a1f461c3e08a9175424f9dd6e12ae6-ssl%22	https://robbowen.digital/assets/img/articles/nlp-python.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/nlp-python.jpg	(from https://robbowen.digital/wrote-about/how-to-name-your-web-agency-with-nlp/)
20:19:06	32654/32654	---M--	200	added ('OK')	image/jpeg	etag:%22e6cb0725b92e0a7ea10a31ebdf90dfac-ssl%22	https://robbowen.digital/assets/img/articles/nlp-lemma.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/nlp-lemma.jpg	(from https://robbowen.digital/wrote-about/how-to-name-your-web-agency-with-nlp/)
20:19:07	20373/20373	---M--	200	added ('OK')	image/jpeg	etag:%22899e879af8bebe420c952ae4789a2bd5-ssl%22	https://robbowen.digital/assets/img/articles/nlp-disruptivebreakfast.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/nlp-disruptivebreakfast.jpg	(from https://robbowen.digital/wrote-about/how-to-name-your-web-agency-with-nlp/)
20:19:08	113148/113148	---M--	200	added ('OK')	image/png	etag:%22a29e2b136fb2f6be2d17e448cf6129f0-ssl%22	https://robbowen.digital/assets/img/cards/neon-dreams.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/neon-dreams.png	(from https://robbowen.digital/wrote-about/neon-dreams/)
20:19:10	176217/176217	---M--	200	added ('OK')	image/png	etag:%22d582e8ca71c3e36f12c4dca48f5b885a-ssl%22	https://robbowen.digital/assets/img/articles/synth-banner.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/synth-banner.png	(from https://robbowen.digital/wrote-about/neon-dreams/)
20:19:11	91082/91082	---M--	200	added ('OK')	image/png	etag:%22d1899ba86bde866b1c26607176d5abed-ssl%22	https://robbowen.digital/assets/img/cards/launch-day.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/launch-day.png	(from https://robbowen.digital/wrote-about/launch-day/)
20:19:12	33088/33088	---M--	200	added ('OK')	image/jpeg	etag:%22e11441831ae98f0b2f73a3ebf60e1822-ssl%22	https://robbowen.digital/assets/img/articles/mountains.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/mountains.jpg	(from https://robbowen.digital/wrote-about/launch-day/)
20:19:14	115554/115554	---M--	200	added ('OK')	image/png	etag:%2290b2fbce44db308a579cb470472bbead-ssl%22	https://robbowen.digital/assets/img/articles/svglayers.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/svglayers.png	(from https://robbowen.digital/wrote-about/launch-day/)
20:19:15	102833/102833	---M--	200	added ('OK')	image/png	etag:%223d620a769dbb1f1d0d4b0a34133d12c2-ssl%22	https://robbowen.digital/assets/img/cards/synthwave-84.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/synthwave-84.png	(from https://robbowen.digital/wrote-about/synthwave-84/)
20:19:17	109300/109300	---M--	200	added ('OK')	image/jpeg	etag:%2267bf542f0b1dffe0ed784c7aa282f623-ssl%22	https://robbowen.digital/assets/img/articles/theme.jpg	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/articles/theme.jpg	(from https://robbowen.digital/wrote-about/synthwave-84/)
20:19:19	98496/98496	---M--	200	added ('OK')	image/png	etag:%22f85c354bf2223a06bf8c450cca186a3f-ssl%22	https://robbowen.digital/assets/img/cards/HTML-is-like-a-camera.png	C:/My%20Web%20Sites/Robb%20portfolio/robbowen.digital/assets/img/cards/HTML-is-like-a-camera.png	(from https://robbowen.digital/wrote-about/html-is-like-a-camera/)
